"","stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"716","Data Protection","Do you maintain a data catalog, including types, sensitivity levels, and processing and storage locations?","NO ANSWER",0,0,NA,0,NA,NA,"bfea410146cd967b392a87771e690515","development",0
"717","Data Protection","Do you regularly review and update the data catalog and your data protection policies and procedures?","NO ANSWER",0,0,NA,0,NA,NA,"bfea410146cd967b392a87771e690515","development",0
"718","System Decomissioning / Legacy Management","Do you identify and remove systems, applications, application dependencies, or services that are no longer used, have reached end of life, or are no longer actively developed or supported?","NO ANSWER",0,NA,NA,0,NA,NA,"bfea410146cd967b392a87771e690515","development",0
"719","System Decomissioning / Legacy Management","Do you follow an established process for removing all associated resources, as part of decommissioning of unused systems, applications, application dependencies, or services?","NO ANSWER",0,NA,NA,0,NA,NA,"bfea410146cd967b392a87771e690515","development",0
"720","System Decomissioning / Legacy Management","Do you regularly evaluate the lifecycle state and support status of every software asset and underlying infrastructure component, and estimate their end of life?","NO ANSWER",0,NA,NA,0,NA,NA,"bfea410146cd967b392a87771e690515","development",0
"721","Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","Yes, it covers risks and opportunities",1,1,NA,1.375,"difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"722","Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","Yes, we consult the plan before making significant decisions",0.5,0.375,"I refer to COMPANY Security Reliability Model for this question",1.375,"difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"723","Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","No",0,0,"SRM is on higher COMPANY level, so would not say that we review it, but nothing stops us from sharing feedback on it",1.375,"difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"724","Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","Yes, for all three metrics categories",1,NA,"Secuirty test report for each major or consecutive release.",1.375,"difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"725","Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","Yes, for some of the metrics",0.25,NA,"Current years metric is on Secuirty GPRs",1.375,"difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"726","Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","No",0,NA,NA,1.375,"difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"727","Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","Yes, for some applications",0.25,0.375,"Within prod development we use CIS-CAT. Within Managed service there are more polices, like PCI, NIST.",1.5,"difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"728","Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","Yes, some content",0.25,0.375,NA,1.5,"difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"729","Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","Yes, we report at regular times",0.5,0.75,NA,1.5,"difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"730","Compliance Management","Do you have a complete picture of your external compliance obligations?","Yes, for at least half of the applications",0.5,NA,NA,1.5,"difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"731","Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","Yes, for at least half of the obligations",0.5,NA,"GPRs, compliance to PA-DSS etc",1.5,"difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"732","Compliance Management","Do you regularly report on adherence to external compliance obligations and use that information to guide efforts to close compliance gaps?","Yes, we report at least annually",1,NA,"GPR reporitng and PA-DSS",1.5,"difficult","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"733","Training and Awareness","Do you require employees involved with application development to take SDLC training?","Yes, most or all of them",1,1,NA,2.125,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"734","Training and Awareness","Is training customized for individual roles such as developers, testers, or security champions?","Yes, for some of the training",0.25,0.625,"Secure coding training for all developers,   Security bootcamp for Masters",2.125,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"735","Training and Awareness","Have you implemented a Learning Management System or equivalent to track employee training and certification processes?","Yes, for most or all of the training",1,0.5,"Successfactor and degreed",2.125,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"736","Organization and Culture","Have you identified a Security Champion for each development team?","Yes, for most or all of the teams",1,NA,NA,2.125,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"737","Organization and Culture","Does the organization have a Secure Software Center of Excellence (SSCE)?","Yes, for the entire organization",1,NA,NA,2.125,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"738","Organization and Culture","Is there a centralized portal where developers and application security professionals from different teams and business units are able to communicate and share information?","No",0,NA,"Not what I am aware of.",2.125,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"739","Application Risk Profile","Do you classify applications according to business risk based on a simple and predefined set of questions?","NO ANSWER",0,0.5,NA,1.25,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"740","Application Risk Profile","Do you use centralized and quantified application risk profiles to evaluate business risk?","NO ANSWER",0,0.5,NA,1.25,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"741","Application Risk Profile","Do you regularly review and update the risk profiles for your applications?","Yes, upon change of the application",0.5,0.25,"Risk assessment for major and consecetive releases",1.25,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"742","Threat Modeling","Do you identify and manage architectural design flaws with threat modeling?","Yes, most or all of them",1,NA,NA,1.25,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"743","Threat Modeling","Do you use a standard methodology, aligned on your application risk levels?","Yes, for most or all of the applications",1,NA,NA,1.25,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"744","Threat Modeling","Do you regularly review and update the threat modeling methodology for your applications?","NO ANSWER",0,NA,NA,1.25,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"745","Software Requirements","Do project teams specify security requirements during development?","NO ANSWER",0,0,NA,0,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"746","Software Requirements","Do you define, structure, and include prioritization in the artifacts of the security requirements gathering process?","NO ANSWER",0,0,NA,0,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"747","Software Requirements","Do you use a standard requirements framework to streamline the elicitation of security requirements?","NO ANSWER",0,0,NA,0,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"748","Supplier Security","Do stakeholders review vendor collaborations for security requirements and methodology?","NO ANSWER",0,NA,NA,0,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"749","Supplier Security","Do vendors meet the security responsibilities and quality measures of service level agreements defined by the organization?","NO ANSWER",0,NA,NA,0,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"750","Supplier Security","Are vendors aligned with standard security controls and software development tools and processes that the organization utilizes?","NO ANSWER",0,NA,NA,0,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"751","Architecture Design","Do teams use security principles during design?","NO ANSWER",0,0,NA,0,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"752","Architecture Design","Do you use shared security services during design?","NO ANSWER",0,0,NA,0,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"753","Architecture Design","Do you base your design on available reference architectures?","NO ANSWER",0,0,NA,0,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"754","Technology Management","Do you evaluate the security quality of important technologies used for development?","NO ANSWER",0,NA,NA,0,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"755","Technology Management","Do you have a list of recommended technologies for the organization?","NO ANSWER",0,NA,NA,0,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"756","Technology Management","Do you enforce the use of recommended technologies within the organization?","NO ANSWER",0,NA,NA,0,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"757","Build Process","Is your full build process formally described?","NO ANSWER",0,0,NA,0,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"758","Build Process","Is the build process fully automated?","NO ANSWER",0,0,NA,0,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"759","Build Process","Do you enforce automated security checks in your build processes?","NO ANSWER",0,0,NA,0,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"760","Software Dependencies","Do you have solid knowledge about dependencies you're relying on?","NO ANSWER",0,NA,NA,0,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"761","Software Dependencies","Do you handle 3rd party dependency risk by a formal process?","NO ANSWER",0,NA,NA,0,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"762","Software Dependencies","Do you prevent build of software if it's affected by vulnerabilities in dependencies?","NO ANSWER",0,NA,NA,0,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"763","Deployment Process","Do you use repeatable deployment processes?","Yes, for most or all of the applications",1,1,"Deployment automation with for example ansible",2,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"764","Deployment Process","Are deployment processes automated and employing security checks?","Yes, for most or all of the applications",1,0.5,NA,2,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"765","Deployment Process","Do you consistently validate the integrity of deployed artifacts?","Yes, for most or all of the applications",1,0.5,"Software artificats are signed",2,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"766","Secret Management","Do you limit access to application secrets according to the least privilege principle?","Yes, for most or all of the applications",1,NA,NA,2,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"767","Secret Management","Do you inject production secrets into configuration files during deployment?","NO ANSWER",0,NA,NA,2,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"768","Secret Management","Do you practice proper lifecycle management for application secrets?","NO ANSWER",0,NA,NA,2,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"769","Defect Tracking","Do you track all known security defects in accessible locations?","NO ANSWER",0,0,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"770","Defect Tracking","Do you keep an overview of the state of security defects across the organization?","NO ANSWER",0,0,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"771","Defect Tracking","Do you enforce SLAs for fixing security defects?","NO ANSWER",0,0,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"772","Metrics and Feedback","Do you use basic metrics about recorded security defects to carry out quick win improvement activities?","NO ANSWER",0,NA,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"773","Metrics and Feedback","Do you improve your security assurance program upon standardized metrics?","NO ANSWER",0,NA,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"774","Metrics and Feedback","Do you regularly evaluate the effectiveness of your security metrics so that its input helps drive your security strategy?","NO ANSWER",0,NA,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"775","Architecture Validation","Do you review the application architecture for key security objectives on an ad-hoc basis?","NO ANSWER",0,0,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"776","Architecture Validation","Do you regularly review the security mechanisms of your architecture?","NO ANSWER",0,0,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"777","Architecture Validation","Do you regularly review the effectiveness of the security controls?","NO ANSWER",0,0,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"778","Architecture Mitigation","Do you review the application architecture for mitigations of typical threats on an ad-hoc basis?","NO ANSWER",0,NA,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"779","Architecture Mitigation","Do you regularly evaluate the threats to your architecture?","NO ANSWER",0,NA,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"780","Architecture Mitigation","Do you regularly update your reference architectures based on architecture assessment findings?","NO ANSWER",0,NA,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"781","Control Verification","Do you test applications for the correct functioning of standard security controls?","NO ANSWER",0,0,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"782","Control Verification","Do you consistently write and execute test scripts to verify the functionality of security requirements?","NO ANSWER",0,0,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"783","Control Verification","Do you automatically test applications for security regressions?","NO ANSWER",0,0,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"784","Misuse/Abuse Testing","Do you test applications using randomization or fuzzing techniques?","NO ANSWER",0,NA,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"785","Misuse/Abuse Testing","Do you create abuse cases from functional requirements and use them to drive security tests?","NO ANSWER",0,NA,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"786","Misuse/Abuse Testing","Do you perform denial of service and security stress testing?","NO ANSWER",0,NA,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"787","Scalable Baseline","Do you scan applications with automated security testing tools?","NO ANSWER",0,0,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"788","Scalable Baseline","Do you customize the automated security tools to your applications and technology stacks?","NO ANSWER",0,0,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"789","Scalable Baseline","Do you integrate automated security testing into the build and deploy process?","NO ANSWER",0,0,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"790","Deep Understanding","Do you manually review the security quality of selected high-risk components?","NO ANSWER",0,NA,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"791","Deep Understanding","Do you perform penetration testing for your applications at regular intervals?","NO ANSWER",0,NA,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"792","Deep Understanding","Do you use the results of security testing to improve the development lifecycle?","NO ANSWER",0,NA,NA,0,"easy","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"793","Incident Detection","Do you analyze log data for security incidents periodically?","Yes, for most or all of the applications",1,1,"SIEM to some extent, but also script based and  ad-hoc manual review at investigations",2.625,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"794","Incident Detection","Do you follow a documented process for incident detection?","Yes, for most or all of the applications",1,1,"MSTOP, Processes used in Managed Services",2.625,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"795","Incident Detection","Do you review and update the incident detection process regularly?","Yes, for some applications",0.25,0.625,NA,2.625,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"796","Incident Response","Do you respond to detected incidents?","Yes, for most or all of the incidents",1,NA,"Dedicated SOC team",2.625,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"797","Incident Response","Do you use a repeatable process for incident handling?","Yes, for most or all of the incident types",1,NA,"Securtiy Incident Mgmt process defined",2.625,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"798","Incident Response","Do you have a dedicated incident response team available?","Yes, most or all of the time",1,NA,"Dedicated SOC team",2.625,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"799","Configuration Hardening","Do you harden configurations for key components of your technology stacks?","Yes, for most or all of the components",1,1,NA,3,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"800","Configuration Hardening","Do you have hardening baselines for your components?","Yes, for most or all of the components",1,1,NA,3,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"801","Configuration Hardening","Do you monitor and enforce conformity with hardening baselines?","Yes, for most or all of the components",1,1,NA,3,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"802","Patching and Updating","Do you identify and patch vulnerable components?","Yes, for most or all of the components",1,NA,NA,3,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"803","Patching and Updating","Do you follow an established process for updating components of your technology stacks?","Yes, for most or all of the components",1,NA,NA,3,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"804","Patching and Updating","Do you regularly evaluate components and review patch level status?","Yes, for most or all of the components",1,NA,NA,3,"easy","confident","c73fa8538f31818083eb75c14a7655c5","management",62
"805","Data Protection","Do you protect and handle information according to protection requirements for data stored and processed on each application?","Yes, for some applications",0.25,0.375,NA,0.625,"difficult","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"806","Data Protection","Do you maintain a data catalog, including types, sensitivity levels, and processing and storage locations?","No",0,0,NA,0.625,"difficult","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"807","Data Protection","Do you regularly review and update the data catalog and your data protection policies and procedures?","No",0,0.25,NA,0.625,"difficult","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"808","System Decomissioning / Legacy Management","Do you identify and remove systems, applications, application dependencies, or services that are no longer used, have reached end of life, or are no longer actively developed or supported?","Yes, for at least half of the applications",0.5,NA,"From Operational perspective we always strive to ONLY run supported and used system/services",0.625,"difficult","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"809","System Decomissioning / Legacy Management","Do you follow an established process for removing all associated resources, as part of decommissioning of unused systems, applications, application dependencies, or services?","No",0,NA,"To some extent yes, but not fully",0.625,"difficult","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"810","System Decomissioning / Legacy Management","Do you regularly evaluate the lifecycle state and support status of every software asset and underlying infrastructure component, and estimate their end of life?","Yes, for at least half of the assets",0.5,NA,NA,0.625,"difficult","unconfident","c73fa8538f31818083eb75c14a7655c5","management",62
"811","Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","NO ANSWER",0,0.5,"Don't know",1,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"812","Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","NO ANSWER",0,0.5,"Don't know",1,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"813","Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","NO ANSWER",0,0,"Don't know",1,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"814","Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","Yes, for all three metrics categories",1,NA,"We have several metrics that are followed up on a  monthly basis in SA BSS covering people and org,  product and customer",1,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"815","Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","Yes, for most or all of the metrics",1,NA,NA,1,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"816","Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","No",0,NA,NA,1,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"817","Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","Yes, for most or all of the applications",1,0.5,"We incorporate standards into TEA, our own guidelines and checklists",0.875,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"818","Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","Yes, some content",0.25,0.125,"We run a large number of tests. Don't know to what extent  they cover architecture and guidelines",0.875,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"819","Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","Yes, we report at regular times",0.5,0.25,"We report for each release and also for the monthly follow up",0.875,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"820","Compliance Management","Do you have a complete picture of your external compliance obligations?","NO ANSWER",0,NA,"Don't know",0.875,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"821","Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","NO ANSWER",0,NA,"Don't know",0.875,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"822","Compliance Management","Do you regularly report on adherence to external compliance obligations and use that information to guide efforts to close compliance gaps?","NO ANSWER",0,NA,"Don't know",0.875,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"823","Training and Awareness","Do you require employees involved with application development to take SDLC training?","Yes, some of them",0.25,0.625,"We do security boot camp and also train all staff every 12 months in secure coding",1.375,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"824","Training and Awareness","Is training customized for individual roles such as developers, testers, or security champions?","Yes, for at least half of the training",0.5,0.25,NA,1.375,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"825","Training and Awareness","Have you implemented a Learning Management System or equivalent to track employee training and certification processes?","Yes, for most or all of the training",1,0.5,"We track the completion and coverage of mentioned trainings",1.375,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"826","Organization and Culture","Have you identified a Security Champion for each development team?","Yes, for most or all of the teams",1,NA,"We have a security master in each dev team who  participates in boot camp",1.375,"easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"827","Organization and Culture","Does the organization have a Secure Software Center of Excellence (SSCE)?","NO ANSWER",0,NA,"Don't know",1.375,"easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"828","Organization and Culture","Is there a centralized portal where developers and application security professionals from different teams and business units are able to communicate and share information?","NO ANSWER",0,NA,"Don't know",1.375,"easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"829","Application Risk Profile","Do you classify applications according to business risk based on a simple and predefined set of questions?","Yes, most or all of them",1,0.5,"We perform analysis per feature",1,"easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"830","Application Risk Profile","Do you use centralized and quantified application risk profiles to evaluate business risk?","NO ANSWER",0,0.5,"Don't know",1,"easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"831","Application Risk Profile","Do you regularly review and update the risk profiles for your applications?","NO ANSWER",0,0,"Don't know",1,"easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"832","Threat Modeling","Do you identify and manage architectural design flaws with threat modeling?","NO ANSWER",0,NA,"Don't know",1,"easy","very unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"833","Threat Modeling","Do you use a standard methodology, aligned on your application risk levels?","Yes, for most or all of the applications",1,NA,NA,1,"easy","very unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"834","Threat Modeling","Do you regularly review and update the threat modeling methodology for your applications?","NO ANSWER",0,NA,"Don't know",1,"easy","very unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"835","Software Requirements","Do project teams specify security requirements during development?","Yes, for most or all of the applications",1,1,NA,2.5,"difficult","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"836","Software Requirements","Do you define, structure, and include prioritization in the artifacts of the security requirements gathering process?","Yes, most or all of the time",1,1,"We have a large number of generic security requirements",2.5,"difficult","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"837","Software Requirements","Do you use a standard requirements framework to streamline the elicitation of security requirements?","No",0,0.5,"No specifc consideration to fintech in the sec GPRs I believe",2.5,"difficult","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"838","Supplier Security","Do stakeholders review vendor collaborations for security requirements and methodology?","Yes, most or all of the time",1,NA,"Part of sourcing responsibility",2.5,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"839","Supplier Security","Do vendors meet the security responsibilities and quality measures of service level agreements defined by the organization?","Yes, most or all of the time",1,NA,"Part of sourcing responsibility",2.5,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"840","Supplier Security","Are vendors aligned with standard security controls and software development tools and processes that the organization utilizes?","Yes, most or all of the time",1,NA,"Part of sourcing responsibility",2.5,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"841","Architecture Design","Do teams use security principles during design?","Yes, for most or all of the applications",1,1,"We perform analysis per feature",2.5,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"842","Architecture Design","Do you use shared security services during design?","NO ANSWER",0,0.5,"don't know what security services are",2.5,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"843","Architecture Design","Do you base your design on available reference architectures?","Yes, for most or all of the applications",1,1,"Security is covered in TEA.",2.5,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"844","Technology Management","Do you evaluate the security quality of important technologies used for development?","Yes, for most or all of the applications",1,NA,NA,2.5,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"845","Technology Management","Do you have a list of recommended technologies for the organization?","Yes, for most or all of the technology domains",1,NA,"E.g. Which encryption algorithms to use",2.5,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"846","Technology Management","Do you enforce the use of recommended technologies within the organization?","Yes, for most or all of the applications",1,NA,NA,2.5,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"847","Build Process","Is your full build process formally described?","No",0,0.5,NA,2,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"848","Build Process","Is the build process fully automated?","No",0,0.5,NA,2,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"849","Build Process","Do you enforce automated security checks in your build processes?","Yes, for most or all of the applications",1,1,NA,2,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"850","Software Dependencies","Do you have solid knowledge about dependencies you're relying on?","Yes, for most or all of the applications",1,NA,NA,2,"very easy","very confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"851","Software Dependencies","Do you handle 3rd party dependency risk by a formal process?","Yes, for most or all of the applications",1,NA,NA,2,"very easy","very confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"852","Software Dependencies","Do you prevent build of software if it's affected by vulnerabilities in dependencies?","Yes, for most or all of the applications",1,NA,NA,2,"very easy","very confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"853","Deployment Process","Do you use repeatable deployment processes?","Yes, for most or all of the applications",1,1,NA,1,"easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"854","Deployment Process","Are deployment processes automated and employing security checks?","NO ANSWER",0,0,"Don't know",1,"easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"855","Deployment Process","Do you consistently validate the integrity of deployed artifacts?","NO ANSWER",0,0,"Don't know",1,"easy","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"856","Secret Management","Do you limit access to application secrets according to the least privilege principle?","Yes, for most or all of the applications",1,NA,NA,1,"difficult","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"857","Secret Management","Do you inject production secrets into configuration files during deployment?","NO ANSWER",0,NA,"Don't know",1,"difficult","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"858","Secret Management","Do you practice proper lifecycle management for application secrets?","NO ANSWER",0,NA,"Don't know",1,"difficult","unconfident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"859","Defect Tracking","Do you track all known security defects in accessible locations?","NO ANSWER",0,0,NA,1,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"860","Defect Tracking","Do you keep an overview of the state of security defects across the organization?","Yes, for most or all of the applications",1,0.5,"We gave a view of existing vulnerabilities and SLAs",1,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
"861","Defect Tracking","Do you enforce SLAs for fixing security defects?","Yes, for most or all of the applications",1,0.5,"We gave a view of existing vulnerabilities and SLAs",1,"easy","confident","c7ee6f800e0c0f2f5e0f0b07e5892f61","management",62
